step_ahead,predicted_TotalVehicles
1,102.1494140625
2,94.53759765625
3,87.0419921875
4,82.3935546875
5,79.3720703125
6,76.69921875
7,74.142578125
8,71.87646484375
9,69.7265625
10,68.099609375
11,67.8671875
12,63.68359375
13,63.27685546875
14,62.986328125
15,62.8701171875
16,62.69580078125
17,62.6376953125
18,62.521484375
19,62.46337890625
20,62.4052734375
21,62.34716796875
22,62.2890625
23,62.2890625
24,62.23095703125
25,62.1728515625
26,62.23095703125
27,62.1728515625
28,62.1728515625
29,62.1728515625
30,62.1728515625
